n x_n
1 14.0
2 7.0
3 4.0
4 5.0
5 10.0
6 3.0
7 0.0
8 1.0
9 6.0
10 15.0
11 12.0
12 13.0
13 2.0
14 11.0
15 8.0
16 9.0
17 14.0
18 7.0
19 4.0
20 5.0
21 10.0
22 3.0
23 0.0
24 1.0
25 6.0
26 15.0
27 12.0
28 13.0
29 2.0
30 11.0
31 8.0
32 9.0
33 14.0
34 7.0
35 4.0
36 5.0
37 10.0
38 3.0
39 0.0
40 1.0
41 6.0
42 15.0
43 12.0
44 13.0
45 2.0
46 11.0
47 8.0
48 9.0
49 14.0
50 7.0
51 4.0
52 5.0
53 10.0
54 3.0
55 0.0
56 1.0
57 6.0
58 15.0
59 12.0
60 13.0
61 2.0
62 11.0
63 8.0
64 9.0
65 14.0
66 7.0
67 4.0
68 5.0
69 10.0
70 3.0
71 0.0
72 1.0
73 6.0
74 15.0
75 12.0
76 13.0
77 2.0
78 11.0
79 8.0
80 9.0
81 14.0
82 7.0
83 4.0
84 5.0
85 10.0
86 3.0
87 0.0
88 1.0
89 6.0
90 15.0
91 12.0
92 13.0
93 2.0
94 11.0
95 8.0
96 9.0
97 14.0
98 7.0
99 4.0
100 5.0
