n x_n1 x_n2 x_n3
1 11.0 14.0 0.5
2 8.0 7.0 3.5
3 9.0 4.0 2.5
4 14.0 5.0 13.5
5 7.0 10.0 4.5
6 4.0 3.0 7.5
7 5.0 0.0 6.5
8 10.0 1.0 1.5
9 3.0 6.0 8.5
10 0.0 15.0 11.5
11 1.0 12.0 10.5
12 6.0 13.0 5.5
13 15.0 2.0 12.5
14 12.0 11.0 15.5
15 13.0 8.0 14.5
16 2.0 9.0 9.5
17 11.0 14.0 0.5
18 8.0 7.0 3.5
19 9.0 4.0 2.5
20 14.0 5.0 13.5
21 7.0 10.0 4.5
22 4.0 3.0 7.5
23 5.0 0.0 6.5
24 10.0 1.0 1.5
25 3.0 6.0 8.5
26 0.0 15.0 11.5
27 1.0 12.0 10.5
28 6.0 13.0 5.5
29 15.0 2.0 12.5
30 12.0 11.0 15.5
31 13.0 8.0 14.5
32 2.0 9.0 9.5
33 11.0 14.0 0.5
34 8.0 7.0 3.5
35 9.0 4.0 2.5
36 14.0 5.0 13.5
37 7.0 10.0 4.5
38 4.0 3.0 7.5
39 5.0 0.0 6.5
40 10.0 1.0 1.5
41 3.0 6.0 8.5
42 0.0 15.0 11.5
43 1.0 12.0 10.5
44 6.0 13.0 5.5
45 15.0 2.0 12.5
46 12.0 11.0 15.5
47 13.0 8.0 14.5
48 2.0 9.0 9.5
49 11.0 14.0 0.5
50 8.0 7.0 3.5
51 9.0 4.0 2.5
52 14.0 5.0 13.5
53 7.0 10.0 4.5
54 4.0 3.0 7.5
55 5.0 0.0 6.5
56 10.0 1.0 1.5
57 3.0 6.0 8.5
58 0.0 15.0 11.5
59 1.0 12.0 10.5
60 6.0 13.0 5.5
61 15.0 2.0 12.5
62 12.0 11.0 15.5
63 13.0 8.0 14.5
64 2.0 9.0 9.5
65 11.0 14.0 0.5
66 8.0 7.0 3.5
67 9.0 4.0 2.5
68 14.0 5.0 13.5
69 7.0 10.0 4.5
70 4.0 3.0 7.5
71 5.0 0.0 6.5
72 10.0 1.0 1.5
73 3.0 6.0 8.5
74 0.0 15.0 11.5
75 1.0 12.0 10.5
76 6.0 13.0 5.5
77 15.0 2.0 12.5
78 12.0 11.0 15.5
79 13.0 8.0 14.5
80 2.0 9.0 9.5
81 11.0 14.0 0.5
82 8.0 7.0 3.5
83 9.0 4.0 2.5
84 14.0 5.0 13.5
85 7.0 10.0 4.5
86 4.0 3.0 7.5
87 5.0 0.0 6.5
88 10.0 1.0 1.5
89 3.0 6.0 8.5
90 0.0 15.0 11.5
91 1.0 12.0 10.5
92 6.0 13.0 5.5
93 15.0 2.0 12.5
94 12.0 11.0 15.5
95 13.0 8.0 14.5
96 2.0 9.0 9.5
97 11.0 14.0 0.5
98 8.0 7.0 3.5
99 9.0 4.0 2.5
100 14.0 5.0 13.5
