n x_n
1 -0.061135906233204196
2 -48.81257313766596
3 -48.379873802285104
4 -80.61565811216718
5 12.837022912384938
6 -96.80198530788915
7 -69.48095422321626
8 -3.9504538876200286
9 -80.02544804549605
10 -16.60722153450112
11 82.7301626926504
12 -29.856097938992463
13 -77.07912561241076
14 42.52167810043679
15 -79.62276938366197
16 -18.859912123668778
17 33.096287814932396
18 -72.32812578767715
19 66.08661784691353
20 -75.36006216319305
21 17.558310889645213
22 -87.38030284360671
23 -0.5794511753589546
24 85.67892419301094
25 61.206168243723425
26 -60.321752373275196
27 -30.943292232768655
28 6.947294451439049
29 95.71669374713997
30 0.6089009796308602
31 -30.510499161536075
32 -57.44269453676472
33 -64.50919502851772
34 -79.19427921932487
35 -62.5089092572851
36 -91.93725026068694
37 -52.01654605962174
38 9.248540697746137
39 -58.44336640745651
40 98.54079580831532
41 -36.49678388083586
42 -16.909105248357832
43 88.12466121766528
44 -65.24045234771714
45 15.123410985146919
46 -36.36382768906146
47 -18.302688065576973
48 24.291288581383967
49 58.02173766385246
50 15.558814643933431
51 -42.23566590489472
52 -86.87687386275604
53 -48.2606662526724
54 4.6660095097783625
55 6.70254993323411
56 23.128714801927856
57 -88.64497045254859
58 -48.03418235058145
59 91.35996866266856
60 -80.78421733103909
61 29.289078145026025
62 -88.10658791462095
63 29.46460540069515
64 72.01433367984185
65 14.579655564947672
66 84.49752934050571
67 -28.658535797668733
68 97.63362552287222
69 -59.84792151024638
70 -53.912716052065605
71 44.248889750568054
72 41.31087471219038
73 -15.666513663132832
74 45.790583659216594
75 -45.32113180909319
76 -15.687509744062694
77 -98.16522137548738
78 -38.64810403614876
79 58.23832073566689
80 -39.002716400511204
81 31.19301636736708
82 34.61483129952785
83 -29.361529642989595
84 83.42828469374658
85 4.78044415357526
86 47.56123740473507
87 -62.12741995712343
88 -82.4988620811373
89 -53.207358031382235
90 99.84041046918168
91 -52.53965175825539
92 78.05685392516042
93 87.28367189807705
94 51.182984224610664
95 94.55078207502117
96 38.04810577142024
97 -91.32619858160704
98 -84.04638809793246
99 36.012285656393175
100 -42.80383890067814
